3001 46TH AVE N	BIRMINGHAM	35207	BIRMINGHAM FD	1303	435	NORTH SMITHFIELD FD | FULTONDALE FD | TARRANT FD | CENTER POINT FD
3001 54TH AVE N	UNINCORPORATED	35207	VERIFY: BIRMINGHAM FD | NORTH SMITHFIELD FD	VERIFY: 1303 | N_SMITHFIELD_FD_1	417	FULTONDALE FD | TARRANT FD | CENTER POINT FD | GARDENDALE FD
3001 56TH AVE N	BIRMINGHAM	35207	BIRMINGHAM FD	1303	417	FULTONDALE FD | NORTH SMITHFIELD FD | TARRANT FD | CENTER POINT FD
3001 5TH AVE N	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HUEYTOWN FD
3001 5TH AVE S	BIRMINGHAM	35233	BIRMINGHAM FD	2208	465	MOUNTAIN BROOK FD | HOMEWOOD FD | TARRANT FD | ROCKY RIDGE FD
3001 6TH AVE N	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HUEYTOWN FD
3001 7TH AVE N	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	465|490	BIRMINGHAM FD | BRIGHTON FD | LIPSCOMB FD | HUEYTOWN FD
3001 7TH AVE N	BIRMINGHAM	35203	BIRMINGHAM FD	0906	465|490	TARRANT FD | MOUNTAIN BROOK FD | HOMEWOOD FD | NORTH SMITHFIELD FD
3001 7TH AVE S	BIRMINGHAM	35233	BIRMINGHAM FD	2208	VERIFY - NO BEAT MATCH	MOUNTAIN BROOK FD | HOMEWOOD FD | TARRANT FD | ROCKY RIDGE FD
3001 8TH AVE N	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BRIGHTON FD | BIRMINGHAM FD | LIPSCOMB FD | HUEYTOWN FD
3001 9TH AVE N	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BRIGHTON FD | BIRMINGHAM FD | LIPSCOMB FD | HUEYTOWN FD
3001 ALAN SHEPARD DR	HUEYTOWN	35023	HUEYTOWN FD	HUEYTOWN_FD	489	CONCORD FD | BESSEMER FD | ADGER FD | PLEASANT GROVE FD
3001 ALISA WAY	VESTAVIA HILLS	35243	VESTAVIA FD	VESTAVIA_FD	466	MOUNTAIN BROOK FD | VESTAVIA HILLS FD | ROCKY RIDGE FD | BIRMINGHAM FD
3001 ALLISON BONNETT MEMORI DR	HUEYTOWN	35023	HUEYTOWN FD	HUEYTOWN_FD	VERIFY - NO BEAT MATCH	BESSEMER FD | PLEASANT GROVE FD | BIRMINGHAM FD | BRIGHTON FD
3001 ARGYLE RD	BIRMINGHAM	35213	BIRMINGHAM FD	0301	465	MOUNTAIN BROOK FD | HOMEWOOD FD | ROCKY RIDGE FD | VESTAVIA HILLS FD
3001 ARLINGTON AVE	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HUEYTOWN FD
3001 ASBURY LN	UNINCORPORATED	35243	VESTAVIA FD	VESTAVIA_FD	466	VESTAVIA HILLS FD | MOUNTAIN BROOK FD | ROCKY RIDGE FD | BIRMINGHAM FD
3001 ATTAWAY RD	UNINCORPORATED	35180	CORNER FD	CORNER_FD	423	BAGLEY FD | MT. OLIVE FD | CANE CREEK FD | WARRIOR FD
3001 AVENUE C	BIRMINGHAM	35218	BIRMINGHAM FD	1603	415	FAIRFIELD FD | MINOR FD | ADAMSVILLE FD | MIDFIELD FD
3001 AVENUE E	BIRMINGHAM	35218	BIRMINGHAM FD	1603	415	FAIRFIELD FD | MINOR FD | ADAMSVILLE FD | MIDFIELD FD
3001 AVENUE F	BIRMINGHAM	35218	BIRMINGHAM FD	1603	415	FAIRFIELD FD | MINOR FD | ADAMSVILLE FD | MIDFIELD FD
3001 AVENUE G	BIRMINGHAM	35218	BIRMINGHAM FD	1603	415	FAIRFIELD FD | MINOR FD | ADAMSVILLE FD | MIDFIELD FD
3001 AVENUE H	BIRMINGHAM	35218	BIRMINGHAM FD	1603	415	FAIRFIELD FD | MINOR FD | ADAMSVILLE FD | MIDFIELD FD
3001 AVENUE I	BIRMINGHAM	35218	BIRMINGHAM FD	1603	415	FAIRFIELD FD | MINOR FD | ADAMSVILLE FD | MIDFIELD FD
3001 AVENUE S	BIRMINGHAM	35208	BIRMINGHAM FD	2003	469	FAIRFIELD FD | MIDFIELD FD | MINOR FD | ADAMSVILLE FD
3001 AVENUE T	BIRMINGHAM	35208	BIRMINGHAM FD	2003	469	FAIRFIELD FD | MIDFIELD FD | MINOR FD | ADAMSVILLE FD
