2309 CUMBERLAND LAKE DR	UNINCORPORATED	35126	CLUBVIEW DR / CUMBERLAND LAKE CIR & LAKE LN	PALMERDALE FD (STATION 2)	PFD_1	443	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
2309 DARTMOUTH DR	HOOVER	35226	BLUE RIDGE BLVD / DARTMOUTH CIR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. BIRMINGHAM FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. REX LAKE FD | 8. INDIAN FORD FD
2309 DOWNEY DR	VESTAVIA HILLS	35216	LEXINGTON RD	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. MOUNTAIN BROOK FD | 3. HOMEWOOD FD | 4. HOOVER FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 EMPIRE RD	HOOVER	35226	HACKBERRY LN / REGENT DR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. BIRMINGHAM FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. REX LAKE FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 ENGLISH VILLAGE LN	MOUNTIAN BROOK	35223	PUBLIC ALY / 23RD ST	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
2309 ETOWAH ST	TARRANT	35217	LAKELAND ST / DANBURY CIR	TARRANT FD	TARRANT_FD	441	1. BIRMINGHAM FD | 2. FULTONDALE FD
2309 EUFAULA AVE	BIRMINGHAM	35208	PUBLIC ALY / 23RD ST W	BIRMINGHAM FD	2003	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
2309 EXETER AVE	BESSEMER	35020	23RD ST S / 24TH ST S	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. EASTERN VALLEY FD | 5. HOOVER FD | 6. HUEYTOWN FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
2309 FAIRFAX AVE	BESSEMER	35020	23RD ST S / 24TH ST S	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. EASTERN VALLEY FD | 5. HOOVER FD | 6. HUEYTOWN FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
2309 FARLEY PL	HOOVER	35226	FARLEY TER / FARLEY RD	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. HOMEWOOD FD | 5. HELENA FD | 6. NORTH SHELBY FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 FARLEY RD	HOOVER	35226	FARLEY PL / CAMBO LN	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. HOMEWOOD FD | 5. HELENA FD | 6. NORTH SHELBY FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 FARLEY TER	HOOVER	35226	FARLEY PL / FARLEY WAY	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. HOMEWOOD FD | 5. HELENA FD | 6. NORTH SHELBY FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 FLOYD BRADFORD RD	IRONDALE	35173	PUBLIC ALY / VIRGINIA ST	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. TRUSSVILLE FD | 3. REX LAKE FD | 4. MOUNTAIN BROOK FD
2309 FULTON RD	FULTONDALE	35068	PUBLIC ALY / 1ST ST	FULT ST	FULT_ST1	421	1. FULTONDALE FD | 2. GARDENDALE FD | 3. TARRANT FD | 4. BIRMINGHAM FD | 5. GLENNWOOD FD
2309 GARLAND DR	VESTAVIA HILLS	35216	WINTERBERRY WAY / LIME ROCK RD	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. MOUNTAIN BROOK FD | 4. HOMEWOOD FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 GLENNWOOD RD	UNINCORPORATED	35116	TALLEY RD / GLENNWOOD LN	GLENWOOD FD	GLENWOOD FIRE 1	435	1. PALMERDALE FD | 2. GLENNWOOD FD | 3. GARDENDALE FD | 4. MORRIS FD
2309 GRAYSON VALLEY DR	UNINCORPORATED	35235	GRAYSON VALLEY CIR / APPLE PARK DR & CHALKVILLE RD	CENTER POINT FD/TRUSSVILLE  FD (AUTOMATIC AID - STRUCTURE FIRES ONLY)	CPFD7_AA	447	1. BIRMINGHAM FD
2309 HAPPY TOP RD	UNINCORPORATED	35116	WALTERS POINT RD / MORRIS MAJESTIC RD	GLENWOOD FD	GLENWOOD FIRE 1	435	1. PALMERDALE FD | 2. GLENNWOOD FD | 3. MORRIS FD | 4. GARDENDALE FD
2309 HARMONY LN	HOOVER	35226	STONEY BROOK RD	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 HAWKSBURY LN	HOOVER	35226	MAIDEN LN / WOOD ACRES LN	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 HIGHLAND CRES	BIRMINGHAM	35205	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	0301	465	1. MOUNTAIN BROOK FD
2309 HUNTERS CV	VESTAVIA HILLS	35216	ANGLEWOOD DR / BRANCHWATER LN	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. MOUNTAIN BROOK FD | 3. HOOVER FD | 4. HOMEWOOD FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 HUNTINGTON RIDGE RD	HOMEWOOD	35226	FOREST BROOK DR	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
2309 HUNTSVILLE RD	BIRMINGHAM	35234	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	0905	435	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
2309 ISHKOODA RD	BIRMINGHAM	35211	ISHKOODA WENONAH RD & WHITMORE DR / ISHKOODA WENONAH RD & NEW HILL AVE	BIRMINGHAM FD	2501	469	1. MIDFIELD FD
2309 J TERRELL WOOTEN DR	BESSEMER	35020	WOODWARD RD / GRIFFIN DR	BESSEMER FD	BESSEMER_FD	VERIFY - NO BEAT MATCH	1. HUEYTOWN FD | 2. BRIGHTON FD | 3. BIRMINGHAM FD | 4. LIPSCOMB FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCCALLA FD | 8. MCADORY FD | 9. INDIAN FORD FD
2309 LAKESIDE DR	UNINCORPORATED	35111	PUBLIC ALY / WATERVIEW CIR	MCCALLA FD	MCCALLA_FD_1	489	1. BESSEMER FD | 2. LAKEVIEW FD | 3. MCADORY FD
2309 LANE CIR	MOUNTIAN BROOK	35223	PUBLIC ALY / CAHABA RD S	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
2309 LANE PARK RD	BIRMINGHAM	35223	SOMERSET CIR / COUNTRY CLUB CIR	BIRMINGHAM FD	0306	465	1. MOUNTAIN BROOK FD | 2. HOMEWOOD FD
2309 LAUREL LN	HOOVER	35216	LAUREL VIEW LN / TETON RD	HOOVER FD	HOOVER_FD	467	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD | 3. BIRMINGHAM FD | 4. HOMEWOOD FD | 5. REX LAKE FD | 6. BESSEMER FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 LESTER LN	HOOVER	35226	CLEARVIEW RD / MEADOWLARK DR	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 LOCH LOMOND LN	UNINCORPORATED	35235	PENTLAND DR	CENTER POINT FD/TRUSSVILLE  FD (AUTOMATIC AID - STRUCTURE FIRES ONLY)	CPFD7_AA	447	1. BIRMINGHAM FD
2309 LOCKE LN	HOOVER	35226	CAMBO DR & LOCKE CIR / FARLEY WAY	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. ROCKY RIDGE FD | 3. BIRMINGHAM FD | 4. HOMEWOOD FD | 5. HELENA FD | 6. NORTH SHELBY FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 LONGLEAF WAY	VESTAVIA HILLS	35243	LONGLEAF ST	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. BIRMINGHAM FD | 4. MOUNTAIN BROOK FD | 5. HOMEWOOD FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 MANASSAS DR	IRONDALE	35213	VERIFY - CROSS STREETS UNAVAILABLE	IRONDALE FD	IRONDALE_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. REX LAKE FD | 4. TRUSSVILLE FD
2309 MCEL AVE	FULTONDALE	35068	LEONARD RD	FULT ST	FULT_ST2	417	1. FULTONDALE FD | 2. BIRMINGHAM FD | 3. GARDENDALE FD
2309 MEADOWLARK DR	HOOVER	35226	CLEARVIEW RD / LESTER LN	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 MISTY RIDGE CIR	HOOVER	35226	GARY MAC DR / MISTY RIDGE DR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 MORGAN RD	BESSEMER	35022	CONE DR SE / CUMBERLAND DR SE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. MCADORY FD | 3. INDIAN FORD FD | 4. HOOVER FD | 5. BIRMINGHAM FD | 6. MCCALLA FD | 7. LIPSCOMB FD | 8. HUEYTOWN FD | 9. BRIGHTON FD
2309 MORRIS AVE	BIRMINGHAM	35203	23RD ST N / 24TH ST N	BIRMINGHAM FD	0201	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
