6299 WHIPPOORWILL DR	CLAY	35126	DEWEY HEIGHTS RD & DUG HOLLOW RD / MOCKINGBIRD LN	CENTER POINT FD	CPFD_6	448	1. PALMERDALE FD | 2. TRUSSVILLE FD
63 17TH AVE S	BIRMINGHAM	35205	PUBLIC ALY / 1ST ST S	BIRMINGHAM FD	0702	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
63 1ST AVE N	BESSEMER	35020	SPRING ST / VALLEY ST	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. MCADORY FD | 4. BIRMINGHAM FD | 5. MCCALLA FD | 6. BRIGHTON FD | 7. LIPSCOMB FD | 8. HOOVER FD | 9. INDIAN FORD FD
63 2ND AVE N	BESSEMER	35020	VALLEY ST / 1ST ST N & 2ND AVE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. MCADORY FD | 4. BIRMINGHAM FD | 5. MCCALLA FD | 6. BRIGHTON FD | 7. LIPSCOMB FD | 8. HOOVER FD | 9. INDIAN FORD FD
63 2ND AVE NW	GRAYSVILLE	35073	2ND AVE NE & N MAIN ST / 2ND PL NW	GRAYSVILLE FD	GRAYSVILLE FD	425	1. ADAMSVILLE FD | 2. WEST JEFFERSON FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. BAGLEY FD
63 2ND AVE S	BIRMINGHAM	35205	1ST ST S & 2ND AVE / 2ND ST & 2ND ST S	CENTER POINT FD	BIRMINGHAM_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. MOUNTAIN BROOK FD | 4. HOOVER FD | 5. ROCKY RIDGE FD | 6. FAIRFIELD FD | 7. TARRANT FD | 8. NORTH SMITHFIELD DEPARTMENT FD | 9. MINOR FD | 10. FORESTDALE FD | 11. ADAMSVILLE FD | 12. FULTONDALE FD | 13. IRONDALE FD | 14. PLEASANT GROVE FD | 15. REX LAKE FD | 16. BROOKSIDE FD | 17. MAYTOWN FD | 18. SYLVAN SPRINGS FD | 19. CONCORD FD | 20. WEST JEFFERSON FD | 21. TRUSSVILLE FD | 22. BIRMINGPORT FD
63 3RD AVE SE	GRAYSVILLE	35073	1ST ST SE / S MAIN ST	GRAYSVILLE FD	GRAYSVILLE FD	425	1. ADAMSVILLE FD | 2. WEST JEFFERSON FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. BAGLEY FD
63 3RD AVE W	BIRMINGHAM	35204	3RD AVE N & CENTER ST N / 1ST ST	BIRMINGHAM FD	2101	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
63 7TH AVE SE	GRAYSVILLE	35073	1ST ST SE / 7TH AVE SW & S MAIN ST	GRAYSVILLE FD	GRAYSVILLE FD	425	1. ADAMSVILLE FD | 2. WEST JEFFERSON FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. BAGLEY FD
63 BLUEBELL ST	BESSEMER	35020	CHESTNUT AVE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. MCADORY FD | 5. MCCALLA FD | 6. LIPSCOMB FD | 7. BRIGHTON FD | 8. HOOVER FD | 9. INDIAN FORD FD
