1721 BIG MOUNTAIN CIR	UNINCORPORATED	35235	BIG MOUNTAIN DR	CENTER POINT FD/TRUSSVILLE  FD (AUTOMATIC AID - STRUCTURE FIRES ONLY)	CPFD7_AA	447	1. BIRMINGHAM FD
1721 BOBOLINK LN	CENTER POINT	35215	BARRINGTON LN / ARGONNE DR	CENTER POINT FD	CPFD_2	439	1. BIRMINGHAM FD
1721 BOISE AVE SW	BIRMINGHAM	35211	PUBLIC ALY / ELM ST	BIRMINGHAM FD	1502	469	NONE WITHIN 3 MILES - VERIFY
1721 BRADFORD LN	UNINCORPORATED	35022	LABARGE DR / JACOBS WAY	EASTERN VALLEY FD	EVFD_1	487	1. BESSEMER FD | 2. MCADORY FD
1721 BRIDLE LN	UNINCORPORATED	35243	ROCKY RIDGE RD	ROCKY RIDGE FD (STATION 1)	RRST1_E	467	1. MOUNTAIN BROOK FD
1721 BRIZENDINE DR	MIDFIELD	35228	LOVETT ST / ELAM ST	MIDFIELD FD	MIDFIELD_FD	490	1. FAIRFIELD FD | 2. BIRMINGHAM FD | 3. BRIGHTON FD
1721 BROWNLEE RD	IRONDALE	35210	BROWNLEE HILLS RD / GAINES DR	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. REX LAKE FD | 3. MOUNTAIN BROOK FD | 4. TRUSSVILLE FD
1721 CAHABA FOREST CV	UNINCORPORATED	35242	CAHABA PARK CIR	REX LAKE FD (SHELBY COUNTY)	REX_LAKE_FD	466	1. BIRMINGHAM FD | 2. HOOVER FD
1721 CEDAR AVE	BIRMINGHAM	35211	CEADAR AVE SW / 17TH ST SW & LAUREL AVE SW	BIRMINGHAM FD	1503	469	NONE WITHIN 3 MILES - VERIFY
1721 CEDAR CREST RD	UNINCORPORATED	35214	ARROW RD / COMANCHE LN & HENDRIX DR	FORESTDALE FD	FORESTDALE_FD	417	1. BIRMINGHAM FD | 2. ADAMSVILLE FD | 3. BROOKSIDE FD
1721 CEDARWOOD LN	HOOVER	35244	PEACHWOOD CIR / WHITEWOOD CIR	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. INDIAN FORD FD | 3. HELENA FD
1721 CEDARWOOD RD	VESTAVIA HILLS	35216	CEDARBARK LN / BROOKDALE LN	VESTAVIA FD	VESTAVIA_FD	469	1. HOMEWOOD FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD
1721 CENTER ST S	BIRMINGHAM	35205	17TH CT S / 17TH AVE S & 17TH AVE SW	BIRMINGHAM FD	0702	469	NONE WITHIN 3 MILES - VERIFY
1721 CHAPELRIDGE DR	GARDENDALE	35071	VERIFY - CROSS STREETS UNAVAILABLE	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. FULTONDALE FD | 3. FORESTDALE FD | 4. BROOKSIDE FD
1721 CHERRY AVE	UNINCORPORATED	35214	LAVERNE ST / KEEL ST	FORESTDALE FD	FORESTDALE_FD	417	1. BIRMINGHAM FD | 2. BROOKSIDE FD | 3. ADAMSVILLE FD
1721 CIRCLEWOOD DR	UNINCORPORATED	35214	HOPKINS DR & HORN DR / HENDRIX DR	FORESTDALE FD	FORESTDALE_FD	417	1. BIRMINGHAM FD | 2. ADAMSVILLE FD | 3. BROOKSIDE FD
1721 CLARENDON AVE	BESSEMER	35020	18TH ST S / 17TH ST S	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. EASTERN VALLEY FD | 3. LIPSCOMB FD | 4. BRIGHTON FD | 5. HUEYTOWN FD | 6. HOOVER FD
1721 COBURN ST	HOOVER	35244	VERIFY - CROSS STREETS UNAVAILABLE	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. ROCKY RIDGE FD | 3. BIRMINGHAM FD
1721 COLLIER DR	MIDFIELD	35228	GRANT ST / LOVETT ST	MIDFIELD FD	MIDFIELD_FD	490	1. FAIRFIELD FD | 2. BIRMINGHAM FD | 3. BRIGHTON FD
1721 COURTNEY AVE	LIPSCOMB	35020	18TH ST S & COURTNEY ST / PUBLIC ALY	LIPSCOMB FD	LIPSCOMB_FD	490	1. BIRMINGHAM FD | 2. BESSEMER FD
1721 CREELY DR	UNINCORPORATED	35235	HAWKS HILL CIR / SWEET BRIAR LN	CENTER POINT FD/TRUSSVILLE  FD (AUTOMATIC AID - STRUCTURE FIRES ONLY)	CPFD7_AA	447	1. BIRMINGHAM FD
1721 CRESTWOOD BLVD	IRONDALE	35210	18TH ST S / 17TH ST S	IRONDALE FD	IRONDALE_FD	465	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. REX LAKE FD
1721 CROSSWOOD LN	VESTAVIA HILLS	35216	CROSSWOOD WAY	VESTAVIA FD	VESTAVIA_FD	469	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD
1721 CULLMAN AVE	BIRMINGHAM	35208	PUBLIC ALY / 17TH ST	BIRMINGHAM FD	1606	469	NONE WITHIN 3 MILES - VERIFY
1721 DARTMOUTH AVE	BESSEMER	35020	18TH ST S / 17TH ST S	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. EASTERN VALLEY FD | 3. LIPSCOMB FD | 4. BRIGHTON FD | 5. HUEYTOWN FD | 6. HOOVER FD
1721 DECATUR AVE	BIRMINGHAM	35208	PUBLIC ALY / 17TH ST	BIRMINGHAM FD	1606	469	NONE WITHIN 3 MILES - VERIFY
